Name - Monthly Inflation Rates, by Commodity Group, 2021-2023
Source - Retail Price Survey of Commodities for the Generation of Consumer Price Index, Philippine StatisticsPhilippine Statistics Authority (PSA)
Units - Percent
Description - 
Footnote - Seasonally Adjusted Consumer Price Index (2018=100): January 2022
Date Created - 2023-08-03
Date Modified - 2023-08-03

 ,"2021M1","2021M2","2021M3","2021M4","2021M5","2021M6","2021M7","2021M8","2021M9","2021M10","2021M11","2021M12","2022M1","2022M2","2022M3","2022M4","2022M5","2022M6","2022M7","2022M8","2022M9","2022M10","2022M11","2022M12","2023M1","2023M2","2023M3","2023M4","2023M5","2023M6","2023M7","2023M8","2023M9",
"Philippines",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",
"  All Items","3.7","4.2","4.1","4.1","4.1","3.7","3.7","4.4","4.2","4.0","3.7","3.2","3.0","3.0","4.0","4.9","5.4","6.5","6.4","6.3","6.9","7.7","8.0","8.1","8.7","8.6","7.6","6.6","6.1","5.4","4.7","5.3","6.1",
"    Food and Non-Alcoholic Beverages","5.9","6.2","5.3","3.8","3.5","3.6","3.9","5.6","5.0","3.7","2.2","1.6","1.7","1.2","2.6","3.8","4.9","5.9","6.9","6.3","7.4","9.4","10.0","10.2","10.7","10.8","9.3","7.9","7.4","6.7","6.3","8.1","9.7",
"    Alcoholic Beverages and Tobacco","11.3","11.7","11.3","11.2","11.1","10.4","9.3","9.4","9.5","8.7","6.9","6.2","5.6","4.7","4.8","5.9","6.8","8.7","8.5","9.3","9.8","10.4","10.6","10.7","10.9","11.0","12.2","12.7","12.3","11.6","10.9","10.1","9.8",
"    Clothing and Footwear","1.6","1.7","1.7","1.7","1.9","1.8","1.9","1.8","1.9","1.9","2.0","1.9","2.0","1.9","1.9","2.0","2.1","2.4","2.5","2.8","2.9","3.1","3.6","3.9","4.4","4.8","5.0","5.1","5.1","5.1","4.8","4.8","4.7",
"    Housing, Water, Electricity, Gas, and Other Fuels ","0.2","0.6","0.7","1.3","1.7","2.0","2.7","3.4","3.8","4.3","4.8","5.1","4.5","4.8","6.2","6.9","6.5","9.3","5.7","6.8","7.3","7.4","6.9","7.0","8.6","8.6","7.6","6.5","6.5","5.6","4.5","2.5","2.4",
"    Furnishing, Household Equipment and Routine Household Maintenance","2.6","2.3","1.8","1.9","2.2","2.2","2.1","2.0","2.2","2.1","2.1","2.1","2.4","2.3","2.6","2.6","2.5","2.4","3.1","3.4","3.5","3.8","4.5","4.8","5.2","6.2","6.2","6.1","6.2","6.0","5.8","5.6","5.4",
"    Health","3.8","3.9","4.0","4.0","4.1","3.9","3.9","3.8","3.8","3.7","3.6","3.2","3.1","2.7","2.5","2.4","2.4","2.2","2.4","2.5","2.4","2.6","2.8","3.1","3.3","4.0","3.9","4.1","4.1","3.9","3.9","3.9","4.1",
"    Transport","6.6","8.2","11.7","16.6","16.2","10.2","7.1","6.9","5.6","7.6","9.8","6.6","7.0","8.8","10.3","13.0","14.6","14.3","18.1","14.6","14.5","12.5","12.3","11.7","11.1","9.0","5.3","2.6","-0.5","-3.1","-4.7","0.2","1.2",
"    Information and Communication","0.6","0.7","0.6","0.6","0.6","0.8","0.5","0.6","0.7","0.6","0.6","0.6","0.7","0.6","0.7","0.7","0.7","0.5","0.5","0.4","0.5","0.5","0.7","0.7","0.7","0.8","0.7","0.7","0.7","0.7","0.7","0.7","0.6",
"    Recreation, Sport and Culture","-0.6","-0.7","-0.7","-0.6","-0.5","-0.5","-0.6","1.1","1.6","1.6","1.6","1.6","1.5","1.6","1.5","1.6","1.7","2.1","2.2","2.4","2.7","3.0","3.3","3.9","4.2","4.4","4.6","4.7","4.9","4.8","4.7","4.9","5.1",
"    Education Services","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.5","0.6","3.8","3.5","3.4","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.7","2.9","3.6",
"    Restaurants and Accommodation Services","2.6","3.0","2.9","3.3","3.9","4.2","3.8","4.0","4.0","3.8","3.7","3.2","3.0","2.9","3.0","2.8","2.8","3.3","3.4","4.2","4.6","5.7","6.5","7.0","7.6","8.1","8.3","8.6","8.3","8.2","7.9","7.1","7.1",
"    Financial Services","0.0","0.0","0.0","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"    Personal Care, and Miscellaneous Goods and Services","2.4","2.4","2.4","2.4","2.4","2.4","2.3","2.2","2.2","2.1","2.2","2.1","2.2","2.2","2.2","2.3","2.5","2.8","2.8","3.3","3.4","3.7","4.2","4.5","5.0","5.3","5.6","5.7","5.7","5.8","5.6","5.5","5.4",
"  NCR- National Capital Region",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",
"  All Items","3.4","3.2","2.5","2.4","2.6","2.6","2.9","3.3","3.0","2.5","2.2","2.1","1.3","1.9","3.4","4.4","4.7","5.4","5.1","5.7","6.5","7.7","7.5","7.6","8.6","8.7","7.8","7.1","6.5","5.6","5.6","5.9","6.1",
"    Food and Non-Alcoholic Beverages","8.6","6.7","4.4","3.0","3.1","3.5","4.2","5.3","3.6","1.0","-1.1","-1.1","-3.0","-1.6","1.5","3.4","4.6","6.0","6.3","6.2","8.5","11.4","11.2","11.2","12.1","11.6","9.3","8.3","7.6","6.0","6.4","8.6","8.3",
"    Alcoholic Beverages and Tobacco","9.3","9.8","9.1","8.8","8.7","9.0","8.3","8.5","8.4","8.4","6.7","5.7","4.7","4.0","3.9","5.2","6.5","7.4","7.4","7.8","7.8","7.7","7.6","7.2","6.6","6.4","7.9","7.9","7.4","6.8","6.4","5.8","6.4",
"    Clothing and Footwear","1.0","1.0","0.8","1.1","1.1","1.1","0.8","0.6","0.7","0.7","0.7","0.6","0.8","0.8","1.0","0.8","1.2","1.2","2.3","2.3","2.2","2.2","2.6","2.6","2.7","3.2","3.1","3.1","2.9","2.7","2.1","2.3","2.3",
"    Housing, Water, Electricity, Gas, and Other Fuels ","-0.1","1.1","0.1","0.1","0.8","1.0","1.8","2.6","3.0","3.4","4.3","4.7","3.7","3.6","5.1","6.0","5.2","6.7","3.6","4.6","5.3","4.4","3.7","4.0","6.9","7.7","7.9","6.8","7.5","6.8","6.9","5.3","5.6",
"    Furnishing, Household Equipment and Routine Household Maintenance","3.0","2.1","0.8","0.5","0.9","1.0","1.0","0.9","1.0","1.0","1.1","1.2","2.1","2.2","2.6","3.1","2.6","2.4","3.2","3.3","3.3","3.5","4.3","4.5","4.5","6.9","6.4","6.1","6.4","6.0","6.2","6.1","6.0",
"    Health","2.0","2.0","2.0","1.9","2.2","2.3","2.1","2.2","2.3","2.2","2.3","2.2","1.9","1.4","1.5","1.6","1.9","2.2","1.3","1.0","0.7","0.9","1.2","1.4","1.6","2.2","2.2","2.4","2.1","2.1","2.2","2.7","2.9",
"    Transport","3.7","5.5","9.1","12.4","9.5","4.5","3.8","3.5","4.4","6.7","7.9","5.6","6.5","7.9","10.2","12.3","13.8","9.7","17.4","14.7","14.3","15.7","14.8","14.0","12.8","10.8","6.2","4.3","1.1","-2.3","-3.2","1.4","2.6",
"    Information and Communication","0.2","0.2","0.1","0.1","0.1","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.7","0.7","0.4","0.4","0.0","0.0","0.0","0.0","0.2","0.4","0.3","0.3","0.2","0.2","0.5","0.5","0.5","0.5","0.5",
"    Recreation, Sport and Culture","-0.9","-0.8","-0.9","-0.8","-0.8","-0.8","-0.9","-0.8","0.3","0.3","0.3","0.4","0.3","0.3","0.8","0.7","1.0","2.1","1.4","1.4","1.5","2.6","3.0","3.2","3.5","3.8","3.5","3.6","3.5","3.3","3.4","3.5","3.4",
"    Education Services","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","-0.1","0.2","0.2","0.2","-0.1","-0.1","-0.1","-0.1","-0.1","-0.4","-0.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","3.3","3.3",
"    Restaurants and Accommodation Services","0.1","0.5","0.5","1.6","2.9","3.4","3.0","3.0","2.9","2.7","2.7","2.8","3.4","3.7","3.7","2.5","3.3","2.9","3.0","5.7","5.9","8.6","8.8","9.5","10.4","10.9","11.0","11.4","9.5","9.8","10.1","7.9","8.1",
"    Financial Services","0.0","0.0","0.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"    Personal Care, and Miscellaneous Goods and Services","1.8","1.5","1.4","1.4","1.3","1.3","1.6","1.7","1.7","1.8","1.7","1.8","1.2","1.4","1.9","1.9","2.2","2.6","2.0","2.3","2.2","2.2","2.7","2.7","2.9","3.5","3.3","3.6","3.8","4.0","4.1","3.9","4.0",
"  Area Outsiide NCR",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",
"  All Items","3.9","4.4","4.6","4.5","4.5","4.0","3.9","4.8","4.5","4.4","4.0","3.4","3.5","3.4","4.1","5.1","5.5","6.5","6.8","6.5","7.0","7.6","8.0","8.2","8.7","8.5","7.5","6.5","6.0","5.3","4.4","5.2","6.0",
"    Food and Non-Alcoholic Beverages","5.5","6.1","5.4","4.0","3.6","3.7","4.0","5.6","5.2","4.2","2.9","2.1","2.6","1.7","2.8","3.8","4.9","5.8","7.0","6.3","7.2","9.0","9.7","10.0","10.4","10.5","9.3","7.9","7.4","6.9","6.2","8.0","10.0",
"    Alcoholic Beverages and Tobacco","11.7","12.0","11.7","11.7","11.5","10.7","9.5","9.5","9.7","8.8","7.0","6.3","5.7","4.8","5.0","6.0","6.8","8.7","8.7","9.6","10.2","10.9","11.1","11.4","11.7","11.8","13.0","13.6","13.2","12.4","11.7","10.9","10.4",
"    Clothing and Footwear","1.8","1.8","1.9","1.9","2.1","2.0","2.1","2.1","2.1","2.1","2.2","2.2","2.3","2.2","2.1","2.1","2.2","2.5","2.6","2.9","3.1","3.3","3.9","4.1","4.7","5.1","5.3","5.5","5.6","5.6","5.3","5.3","5.2",
"    Housing, Water, Electricity, Gas, and Other Fuels ","0.2","0.4","0.9","1.7","2.0","2.4","3.0","3.6","4.2","4.6","4.9","5.2","4.9","5.2","6.7","7.2","7.0","9.5","6.5","7.5","8.0","8.3","8.0","8.1","9.1","8.9","7.4","6.3","6.1","5.3","3.8","1.6","1.3",
"    Furnishing, Household Equipment and Routine Household Maintenance","2.6","2.3","2.1","2.4","2.5","2.4","2.3","2.2","2.5","2.3","2.3","2.4","2.4","2.4","2.6","2.4","2.5","2.4","3.1","3.4","3.6","4.0","4.6","4.8","5.4","5.9","6.0","6.1","6.2","6.1","5.7","5.5","5.3",
"    Health","4.1","4.4","4.4","4.4","4.5","4.2","4.2","4.1","4.0","3.9","3.8","3.3","3.3","2.9","2.8","2.6","2.5","2.2","2.5","2.7","2.6","2.9","3.1","3.4","3.6","4.2","4.2","4.4","4.4","4.3","4.2","4.1","4.3",
"    Transport","7.2","8.7","12.3","17.6","17.7","11.5","7.8","7.7","5.9","7.8","10.1","6.7","7.0","8.9","10.4","13.2","14.7","14.5","18.2","14.7","14.6","11.8","11.8","11.2","10.7","8.5","5.1","2.3","-0.8","-3.3","-5.0","0.0","1.0",
"    Information and Communication","0.7","0.8","0.8","0.8","0.8","0.9","0.5","0.6","0.8","0.7","0.7","0.7","0.8","0.7","0.6","0.7","0.7","0.5","0.7","0.6","0.6","0.6","0.9","0.8","0.8","0.9","0.9","0.9","0.9","0.8","0.8","0.8","0.7",
"    Recreation, Sport and Culture","-0.5","-0.6","-0.6","-0.6","-0.5","-0.5","-0.6","1.4","1.9","1.9","1.9","1.8","1.8","1.8","1.7","1.8","1.9","2.1","2.4","2.6","2.9","3.2","3.5","4.0","4.3","4.6","4.8","5.0","5.1","5.0","5.0","5.3","5.4",
"    Education Services","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.5","0.8","2.2","1.9","1.8","2.0","2.0","2.1","2.1","2.1","2.1","2.1","2.1","2.2","2.7","3.7",
"    Restaurants and Accommodation Services","3.5","3.8","3.9","4.0","4.4","4.6","4.1","4.2","4.2","4.0","4.0","3.4","2.9","2.7","2.7","2.8","2.6","3.3","3.4","3.6","4.2","4.7","5.6","6.0","6.6","7.1","7.3","7.5","7.7","7.7","7.1","6.9","6.8",
"    Financial Services","0.0","0.0","0.0","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"    Personal Care, and Miscellaneous Goods and Services","2.6","2.6","2.7","2.7","2.7","2.7","2.5","2.3","2.3","2.2","2.3","2.2","2.3","2.3","2.2","2.4","2.6","2.9","3.0","3.4","3.7","4.1","4.6","5.0","5.4","5.8","6.1","6.2","6.3","6.2","6.0","5.9","5.7",



